0,0,1.05
0,1,1.43
0,2,1.19
0,3,1.03
0,4,1.36
0,5,1.41
0,6,0.91
0,7,0.41
0,8,1.4
0,9,1.48
0,10,1.05
0,11,1.23
0,12,1.09
0,13,0.99
0,14,1.24
0,15,1.15
0,16,0.89
0,17,2
0,18,2.97
0,19,2
0,20,2.79
0,21,2.67
0,22,2.4
0,23,1.86
0,24,1.65
0,25,1.8
0,26,2.12
0,27,2.87
0,28,2.91
0,29,2.5
0,30,2.29
0,31,2.84
0,32,2.42
0,33,1.52
0,34,2.93
0,35,1.64
0,36,1.68
0,37,2.59
0,38,2.83
0,39,2.52
1,0,0.94
1,1,0.76
1,2,0.59
1,3,1.25
1,4,1.39
1,5,1.44
1,6,0.67
1,7,0.9
1,8,0.38
1,9,1.33
1,10,1.21
1,11,1.18
1,12,1.33
1,13,1.36
1,14,1.23
1,15,1.18
1,16,1.97
1,17,2.48
1,18,2.21
1,19,2.47
1,20,2.31
1,21,2.65
1,22,2.23
1,23,2.15
1,24,1.95
1,25,2.01
1,26,2.48
1,27,1.62
1,28,2.59
1,29,2.67
1,30,2
1,31,1.93
1,32,1.54
1,33,1.88
1,34,2.84
1,35,2.25
1,36,2.4
1,37,1.69
1,38,2.31
1,39,1.76
2,0,1.43
2,1,0.91
2,2,1.06
2,3,1.35
2,4,1.34
2,5,1.1
2,6,1.25
2,7,0.64
2,8,1.01
2,9,1.21
2,10,1.37
2,11,1.29
2,12,1.41
2,13,1.09
2,14,0.75
2,15,0.55
2,16,2.06
2,17,1.76
2,18,2.18
2,19,2.6
2,20,1.84
2,21,2.18
2,22,2.54
2,23,2.51
2,24,2.27
2,25,1.51
2,26,2.67
2,27,2.48
2,28,2.06
2,29,2.66
2,30,2.37
2,31,2.05
2,32,2.59
2,33,2.17
2,34,2.45
2,35,1.75
2,36,1.87
2,37,2.77
2,38,2.54
2,39,1.84
3,0,1.19
3,1,1.19
3,2,1.06
3,3,1.22
3,4,0.73
3,5,1.08
3,6,1.31
3,7,1.31
3,8,1.49
3,9,1.37
3,10,1.06
3,11,1.17
3,12,1.46
3,13,1.14
3,14,0.72
3,15,2.93
3,16,2.94
3,17,2.97
3,18,2.13
3,19,1.67
3,20,2.55
3,21,2.88
3,22,1.74
3,23,2.67
3,24,1.88
3,25,1.97
3,26,2.44
3,27,2.39
3,28,1.6
3,29,2.67
3,30,2.38
3,31,2.41
3,32,1.56
3,33,1.93
3,34,2.46
3,35,2.05
3,36,2.49
3,37,2.56
3,38,2.57
3,39,2.12
4,0,1.36
4,1,1.41
4,2,1.38
4,3,1.04
4,4,1.24
4,5,0.99
4,6,0.88
4,7,0.85
4,8,0.87
4,9,0.76
4,10,0.71
4,11,1.28
4,12,1.49
4,13,1.14
4,14,1.53
4,15,1.76
4,16,1.59
4,17,1.72
4,18,1.85
4,19,1.85
4,20,1.81
4,21,1.67
4,22,2.19
4,23,2.31
4,24,2.26
4,25,2.26
4,26,2.37
4,27,2.18
4,28,2.55
4,29,1.91
4,30,2.26
4,31,2.05
4,32,1.75
4,33,2.63
4,34,1.73
4,35,2.49
4,36,2.34
4,37,2.39
4,38,1.77
4,39,2.4
5,0,1.34
5,1,1.07
5,2,1.47
5,3,1.43
5,4,1.4
5,5,1.46
5,6,0.96
5,7,1.23
5,8,1.48
5,9,1.06
5,10,1.22
5,11,1.37
5,12,1.34
5,13,1.4
5,14,1.66
5,15,2.18
5,16,2.58
5,17,2.03
5,18,1.63
5,19,2.73
5,20,1.75
